x1,x2,x3,x4,x5,ytrain,yans
41,18467,6334,26500,19169,116192,116631
15724,11478,29358,26962,24464,51334.7,50931.1
5705,28145,23281,16827,9961,111475,117089
491,2995,11942,4827,5436,58372.2,56990.3
32391,14604,3902,153,292,38822.6,39465.4
12382,17421,18716,19718,19895,67988.8,67497.7
5447,21726,14771,11538,1869,94165.9,96649.8
19912,25667,26299,17035,9894,91540.7,90644.9
28703,23811,31322,30333,17673,109435,106268
4664,15141,7711,28253,6868,94262.5,94231.9
25547,27644,32662,32757,20037,91720,88196.3
12859,8723,9741,27529,778,66587.4,68228
12316,3035,22190,1842,288,63804.9,66953.3
30106,9040,8942,19264,22648,65027.9,63045.9
27446,23805,15890,6729,24370,93661.2,95537
15350,15006,31101,24393,3548,22796.9,18339
19629,12623,24084,19954,18756,55224.6,57711.8
11840,4966,7376,13931,26308,50604.1,58281.4
16944,32439,24626,11323,5537,111720,114386
21538,16118,2082,22929,16541,35279.3,36898.7
4833,31115,4639,29658,22704,49320.7,46263
9930,13977,2306,31673,22386,-228.598,1658.27
5021,28745,26924,19072,6270,71133.9,72581.7
5829,26777,15573,5097,16512,98629.2,97610.4
23986,13290,9161,18636,22355,25172.4,25536.3
24767,23655,15574,4031,12052,43416.3,37089.7
27350,1150,16941,21724,13966,128547,129660
3430,31107,30191,18007,11337,61736.1,62598.3
15457,12287,27753,10383,14945,123523,130427
8909,32209,9758,24221,18588,65835.9,69014
6422,24946,27506,13030,16413,126497,126682
29168,900,32591,18762,1655,103182,98816.7
17410,6359,27624,20537,21548,37772.1,33709.2
6483,27595,4041,3602,24350,65248.3,62472.3
10291,30836,9374,11020,4596,-8796.11,-8066.29
24021,27348,23199,19668,24484,72858.2,68311.4
8281,4734,53,1999,26418,112230,111638
27938,6900,3788,18127,467,39240.5,36213.9
3728,14893,24648,22483,17807,82558.8,81240.3
2421,14310,6617,22813,9514,15696.5,14379.7
14309,7616,18935,17451,20600,101620,99683.1
5249,16519,31556,22798,30303,41975.4,42359.8
6224,11008,5844,32609,14989,29042.9,34100.9
32702,3195,20485,3093,14343,64899.4,59570.1
30523,1587,29314,9503,7448,93814.5,95656.1
25200,13458,6618,20580,19796,116743,115334
14798,15281,19589,20798,28009,113714,115461
27157,20472,23622,18538,12292,18894.9,16889.4
6038,24179,18190,29657,7958,95199.1,95510.2
6191,19815,22888,19156,11511,89635.5,89187.3
16202,2634,24272,20055,20328,143156,141284
22646,26362,4886,18875,28433,128490,123879
29869,20142,23844,1416,21881,97884,94372
31998,10322,18651,10021,5699,56406.5,53171.8
3557,28476,27892,24389,5075,105535,111685
10712,2600,2510,21003,26869,98155.5,94639.7
17861,14688,13401,9789,15255,1786.99,6151.18
16423,5002,10585,24182,10285,13437.3,13028.2
27088,31426,28617,23757,9832,104003,107349
30932,4169,2154,25721,17189,62738.1,67882
19976,31329,2368,28692,21425,34196.1,30823.5
10555,3434,16549,7441,9512,32291,37510.6
30145,18060,21718,3753,16139,89650.2,94089.5
12423,16279,25996,16687,12529,68398.5,73159.3
22549,17437,19866,12949,193,43070.9,38623.5
23195,3297,20416,28286,16105,68107.6,70291.1
24488,16282,12455,25734,18114,132999,130734
11701,31316,20671,5786,12263,30002,30340.4
4313,24355,31185,20053,912,71674,68721.3
10808,1832,20945,4313,27756,126867,125887
28321,19558,23646,27982,481,64645.6,67757.9
4144,23196,20222,7129,2161,33050.3,33279.7
5535,20450,11173,10466,12044,-2974.05,3278.03
21659,26292,26439,17253,20024,105018,103850
26154,29510,4745,20649,13186,29373.5,28643.8
8313,4474,28022,2168,14018,114930,113565
18787,9905,17958,7391,10202,72147.6,71322
3625,26477,4414,9314,25824,89238,80489.2
29334,25874,24372,20159,11833,16610.4,15793.1
28070,7487,28297,7518,8177,60958.2,70572.1
17773,32270,1763,2668,17192,6685.05,1098.32
13985,3102,8480,29213,7627,43322.8,49607.8
4802,4099,30527,2625,1543,66198.5,63032.2
1924,11023,29972,13061,14181,38745.6,37814.5
31003,27432,17505,27593,22725,129426,129430
13031,8492,142,17222,31286,55454.8,54240.3
13064,7900,19187,8360,22413,50284.7,53528.2
30974,14270,29170,235,30833,89465.9,85210
19711,25760,18896,4667,7285,46145.3,47345.8
12550,140,13694,2695,21624,108590,105812
28019,2125,26576,21694,22658,78712.7,79787.4
26302,17371,22466,4678,22593,138073,137694
23851,25484,1018,28464,21119,25607.8,24444.1
23152,2800,18087,31060,1926,7565.96,9274.66
9010,4757,32170,20315,9576,139883,141787
30227,12043,22758,7164,5109,104340,101694
