x,ytrain,yans
41,56787.2,57226.4
18467,93406.1,93002.5
6334,-6042.13,-427.978
26500,40814.8,39432.9
19169,105249,105892
15724,22656.5,22165.4
11478,57203.8,59687.7
29358,50040.7,49144.9
26962,95196.2,92029.8
24464,104571,104540
5705,38824.6,35300.9
28145,130302,131942
23281,32304,35452.4
16827,35668.9,33686.9
9961,7489.71,9365.54
491,28759.7,24301.9
2995,48161.5,50648.7
11942,94899.6,102577
4827,28524.2,31190.4
5436,86744.5,88363.8
32391,125740,122683
14604,18611.2,20498.1
3902,26070.1,27517.8
153,2433.65,1414.9
292,31.083,395.002
12382,59874.7,53548.2
17421,63311.1,64424.1
18716,101248,102111
19718,38775.7,45680
19895,100509,103687
5447,88752.9,88937.5
21726,88845.4,84480.3
14771,106575,102512
11538,101459,98683
1869,71749.9,72479.7
19912,96585.4,92038.6
25667,106517,105925
26299,129928,126902
17035,85697.4,84378.9
9894,25914.8,24597.9
28703,54751.6,52814.3
23811,126636,127021
31322,122523,127581
30333,128398,123069
17673,113231,115072
4664,64210.7,62801.1
15141,105418,107165
7711,37829.6,35824.1
28253,59739,60050.1
6868,91227.6,90779.4
25547,110383,108511
27644,68287.1,63675.2
32662,62390.7,58878.7
32757,130285,127051
20037,22679.3,28829.4
12859,25290,21774.2
8723,83200.3,87564.5
9741,96155,95745.8
27529,58095.2,61441.8
778,63711.8,68855.7
12316,102150,98777.3
3035,13877.5,19097.1
22190,27455.4,31894.6
1842,71534,76294.9
288,1847.48,-2599.93
30106,43162.5,45346.1
9040,100222,97957.3
8942,40798.7,41137.1
19264,40712.3,37759.6
22648,90277.3,89297.4
27446,119075,122188
23805,127034,127264
15890,106221,112473
6729,4935.47,3767.77
24370,40641.7,39912
15350,20446.1,19080.8
15006,22125.1,21299.5
31101,97238.7,88489.9
24393,51759.2,50941.9
3548,21498.9,31112.8
19629,41505.2,35918.4
12623,96381.1,102666
24084,91824,88657.7
19954,59853,58921.9
18756,117552,117555
11840,63293.9,62079.4
4966,15525.3,18768.7
7376,21614.1,17358.2
13931,19548.4,20748.8
26308,132361,129583
16944,110539,111614
32439,141992,141614
24626,74685.2,73521.5
11323,33465.9,35174.6
5537,39358.5,41262.5
21538,65983.4,63336.6
16118,36831,38862.4
2082,6491.81,5879.29
22929,41111.3,37039.8
16541,80527.8,87886.8
4833,25576.9,26522.9
31115,76367.3,77507.1
4639,41665.8,43491.4
29658,92585,88513.5
22704,122297,122238
9930,13050.9,9080.08
13977,47898.2,48172
2306,22621,23245.4
31673,117961,122797
22386,122519,121674
5021,64067,61711.3
28745,80404.5,81353.3
26924,63512.1,62450.7
19072,99445.9,100261
6270,27574.1,32897.4
5829,85850.1,86027.1
26777,79846.5,84458.2
15573,96534,96695.7
5097,88107.9,86948
16512,65478,65090.5
23986,39535.8,34906.6
13290,71915.3,73079.4
9161,31991.1,31762.1
18636,40460.4,42395.1
22355,118946,123991
24767,58144.9,60845.9
23655,39373.4,40524.5
15574,94329.2,96091.9
4031,79621.6,80012.8
12052,23485.7,30607.6
27350,116654,113624
1150,65352.4,68295.8
16941,112075,110680
21724,89594.7,86069.6
13966,35356,40003.4
3430,-4437.88,-1604.95
31107,82135.3,83708.8
30191,91767.3,88583.7
18007,111472,106893
11337,22690.9,25952.3
15457,81629,82814.2
12287,99697.6,105306
27753,135719,133059
10383,45150.1,45223.8
14945,29787.4,28944.3
8909,16857.8,18149.5
32209,68394.9,69241.6
9758,102391,99446
24221,106889,107569
